Índice de Precios de Consumo (IPC)
Indice de Precios de Consumo. Ponderaciones
Comunidades Autónomas por grupos especiales
Unidades: ?

,2006,2005,2004,2003,2002,
    General sin alimentos,bebidas,tabaco,servicios ni alquiler de vivienda,411,698,414,988,414,988,.,.,
    Bienes industriales no duraderos,290,702,295,311,295,311,.,.,
    General sin tabaco,980,788,980,194,980,194,.,.,
    Alimentos y bebidas,251,108,254,243,254,243,.,.,
    Alimentos elaborados,135,317,135,233,135,233,.,.,
    Bienes industriales sin energia,389,677,392,548,392,548,.,.,
    Servicios (con alquiler de vivienda),317,982,310,963,310,963,.,.,
    Alimentos, bebida y tabaco,270,320,274,049,274,049,.,.,
    Alimentos sin elaboración y productos energéticos,187,096,186,601,186,601,.,.,
    Bienes industriales sin productos energéticos,317,501,323,589,323,589,.,.,
Madrid (Comunidad),
    Alimentos con elaboración, bebidas y tabaco,140,466,142,239,142,239,.,.,
    Alimentos sin elaboración,82,470,85,006,85,006,.,.,
    Bienes industriales,358,700,362,229,362,229,.,.,
    Servicios sin alquiler de  vivienda,392,559,385,012,385,012,.,.,
    Carburantes y combustibles,70,401,67,963,67,963,.,.,
    Bienes industriales duraderos,106,854,105,754,105,754,.,.,
    Productos energeticos,90,557,88,592,88,592,.,.,
    General sin alimentos, bebidas y tabaco,777,063,772,756,772,756,.,.,
    General sin alquiler de vivienda,974,196,974,486,974,486,.,.,
    General sin carburantes ni combustibles,929,599,932,037,932,037,.,.,
    General sin productos energeticos,909,443,911,408,911,408,.,.,
    General sin alimentos no elaborados ni productos energeticos,826,973,826,402,826,402,.,.,
    General sin servicios (incluye alquiler de vivienda),607,441,614,988,614,988,.,.,
    General sin servicios ni alquiler de vivienda,581,636,589,474,589,474,.,.,
    General sin alimentos,bebidas,tabaco ni alquiler de vivienda,751,259,747,241,747,241,.,.,
    General sin alimentos,bebidas,tabaco,carburante ni combustible,706,663,704,793,704,793,.,.,
    General sin alimentos,bebidas,tabaco ni productos energéticos,686,507,684,164,684,164,.,.,
    General sin alimentos,bebidas,tabaco ni servicios (Inc.alquier de viv.),384,504,387,743,387,743,.,.,
